RP23-100C5.1	ETG51792	Ptpra	Ppp2r1a	Rptpalpha|Ptpa|PTPalpha|RPTRalpha|Rptra	6330556D22Rik|PP2A|PR65	Affinity Capture-Western	Fellner T (2003)	12952889	10090	10090
ETG17927	ETG79362	Myod1	Bhlhe41	MYF3|Myod-1|MyoD|bHLHc1|AI503393	Sharp1|Bhlhb3|Bhlhb2l|DEC2	Two-hybrid	Azmi S (2003)	12657651	10090	10090
ETG21423	ETG79362	Tcf3	Bhlhe41	bHLHb21|E12/E47|Tcfe2a|E12|Pan1|VDIR|A1|E2A|ME2|AW209082|Pan2|AA408400|ALF2|E47	Sharp1|Bhlhb3|Bhlhb2l|DEC2	Two-hybrid	Azmi S (2003)	12657651	10090	10090
ETG20683	ETG79362	Sp1	Bhlhe41	Sp1-1|AA450830|1110003E12Rik|AI845540	Sharp1|Bhlhb3|Bhlhb2l|DEC2	Two-hybrid	Azmi S (2003)	12657651	10090	10090
ETG21834	ETG17977	Thrb	Ncoa1	Thrb1|T3R[b]|Thrb2|Nr1a2|T3Rbeta|c-erbAbeta	bHLHe74|SRC-1|SRC1|KAT13A	Phenotypic Enhancement	Sadow PM (2003)	12576486	10090	10090
RP23-176J13.5	RP23-333E24.4	Coil	Smn1	C79982|p80-coilin|Cln80	Smn|Gemin1|AI849087	Co-localization	Fernandez R (2002)	12420317	10090	10090
ETG12566	RP23-333E24.4	Cdk2	Smn1	A630093N05Rik	Smn|Gemin1|AI849087	Co-localization	Fernandez R (2002)	12420317	10090	10090
ETG12566	ETG109740	Cdk2	H1	A630093N05Rik	H-1	Biochemical Activity	Bhattacharjee RN (2001)	11463824	10090	10090
ETG12914	RP23-308N2.10-003	Crebbp	Zbtb17	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	Lp-1|Miz1|Zfp100|mZ13|AA589413	Two-hybrid	Yin X (2005)	15752756	10090	10090
ETG12914	ETG106628	Crebbp	Trip10	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	AI646975|Cip4	Two-hybrid	Yin X (2005)	15752756	10090	10090
ETG12914	ETG232791	Crebbp	Cnot3	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	A930039N10Rik	Two-hybrid	Yin X (2005)	15752756	10090	10090
ETG12914	ETG20405	Crebbp	Sh3gl1	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	C77078|SH3P8|EEN|Sh3d2b	Two-hybrid	Yin X (2005)	15752756	10090	10090
ETG12914	ETG209354	Crebbp	Eif2b1	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	EIF2BA|EIF2B|26kDa|D5Ertd406e	Two-hybrid	Yin X (2005)	15752756	10090	10090
ETG12914	ETG231580	Crebbp	Gak	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	D130045N16Rik	Two-hybrid	Yin X (2005)	15752756	10090	10090
ETG12914	RP23-64E17.3	Crebbp	Ap1b1	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	Adtb1	Two-hybrid	Yin X (2005)	15752756	10090	10090
ETG12914	RP23-308N2.10-003	Crebbp	Zbtb17	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	Lp-1|Miz1|Zfp100|mZ13|AA589413	Reconstituted Complex	Yin X (2005)	15752756	10090	10090
ETG12914	ETG232791	Crebbp	Cnot3	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	A930039N10Rik	Reconstituted Complex	Yin X (2005)	15752756	10090	10090
ETG12914	ETG231580	Crebbp	Gak	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	D130045N16Rik	Reconstituted Complex	Yin X (2005)	15752756	10090	10090
ETG12914	RP23-64E17.3	Crebbp	Ap1b1	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	Adtb1	Reconstituted Complex	Yin X (2005)	15752756	10090	10090
ETG12914	ETG106628	Crebbp	Trip10	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	AI646975|Cip4	Reconstituted Complex	Yin X (2005)	15752756	10090	10090
ETG12914	ETG209354	Crebbp	Eif2b1	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	EIF2BA|EIF2B|26kDa|D5Ertd406e	Reconstituted Complex	Yin X (2005)	15752756	10090	10090
ETG12914	ETG20405	Crebbp	Sh3gl1	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	C77078|SH3P8|EEN|Sh3d2b	Reconstituted Complex	Yin X (2005)	15752756	10090	10090
ETG66917	ETG19060	Chordc1	Ppp5c	Chp-1|1110001O09Rik|morgana|AA409036	PP5|AU020526	Two-hybrid	Hahn JS (2005)	16083881	10090	10090
ETG66917	ETG15516	Chordc1	Hsp90ab1	Chp-1|1110001O09Rik|morgana|AA409036	C81438|90kDa|Hsp84|Hsp90|AL022974|Hspcb|Hsp84-1	Two-hybrid	Hahn JS (2005)	16083881	10090	10090
ETG18747	ETG17196	Prkaca	Mbp	PKA|Cs|Pkaca|PKCD	mld|shi|Hmbpr|R75289|golli-mbp|C76307	Biochemical Activity	Koike A (2012)	22496451	10090	10090
ETG12572	ETG66671	Cdk7	Ccnh	AI528512|Cdkn7|C230069N13|Crk4|AI323415	AW538719|AV102684|6330408H09Rik|AI661354	Affinity Capture-Western	Kim JM (2001)	11319144	10090	10090
ETG66671	ETG12572	Ccnh	Cdk7	AW538719|AV102684|6330408H09Rik|AI661354	AI528512|Cdkn7|C230069N13|Crk4|AI323415	Affinity Capture-Western	Kim JM (2001)	11319144	10090	10090
ETG66917	ETG15516	Chordc1	Hsp90ab1	Chp-1|1110001O09Rik|morgana|AA409036	C81438|90kDa|Hsp84|Hsp90|AL022974|Hspcb|Hsp84-1	Affinity Capture-Western	Hahn JS (2005)	16083881	10090	10090
ETG66917	ETG19060	Chordc1	Ppp5c	Chp-1|1110001O09Rik|morgana|AA409036	PP5|AU020526	Affinity Capture-Western	Hahn JS (2005)	16083881	10090	10090
ETG107607	ETG15516	Nod1	Hsp90ab1	C230079P11|Card4|Nlrc1|F830007N14Rik	C81438|90kDa|Hsp84|Hsp90|AL022974|Hspcb|Hsp84-1	Affinity Capture-Western	Hahn JS (2005)	16083881	10090	10090
ETG107607	RP23-60K23.1	Nod1	Hsp90aa1	C230079P11|Card4|Nlrc1|F830007N14Rik	hsp4|AL024147|Hsp90|Hspca|Hsp86-1|86kDa|Hsp89|AL024080|89kDa	Affinity Capture-Western	Hahn JS (2005)	16083881	10090	10090
ETG66917	RP23-60K23.1	Chordc1	Hsp90aa1	Chp-1|1110001O09Rik|morgana|AA409036	hsp4|AL024147|Hsp90|Hspca|Hsp86-1|86kDa|Hsp89|AL024080|89kDa	Affinity Capture-Western	Hahn JS (2005)	16083881	10090	10090
ETG66917	ETG107607	Chordc1	Nod1	Chp-1|1110001O09Rik|morgana|AA409036	C230079P11|Card4|Nlrc1|F830007N14Rik	Affinity Capture-Western	Hahn JS (2005)	16083881	10090	10090
RP23-56I20.1	ETG12575	Trp53	Cdkn1a	bbl|bfy|p53|bhy|p44|Tp53	CAP20|P21|mda6|p21Cip1|Waf1|Cdkn1|SDI1|p21WAF|CDKI|CIP1	Co-localization	Clegg HV (2012)	22666487	10090	10090
RP23-56I20.1	ETG17246	Trp53	Mdm2	bbl|bfy|p53|bhy|p44|Tp53	1700007J15Rik|AA415488|Mdm-2	Affinity Capture-Western	Clegg HV (2012)	22666487	10090	10090
RP23-56I20.1	ETG328572	Trp53	Ep300	bbl|bfy|p53|bhy|p44|Tp53	p300 HAT|p300|A730011L11|KAT3B|A430090G16	Affinity Capture-Western	Clegg HV (2012)	22666487	10090	10090
ETG17246	ETG17248	Mdm2	Mdm4	1700007J15Rik|AA415488|Mdm-2	AU021806|Mdmx|AA414968|AL023055|C85810|4933417N07Rik|AU018793	Affinity Capture-Western	Clegg HV (2012)	22666487	10090	10090
RP23-447J12.1	RP23-313G3.1	Map3k7	Traf6	B430101B05|C87327|Tak1	C630032O20Rik|2310003F17Rik|AI851288	Affinity Capture-Western	Rim HK (2012)	22637723	10090	10090
RP23-313G3.1	ETG21829	Traf6	thd	C630032O20Rik|2310003F17Rik|AI851288	th|ub|unbalanced	Affinity Capture-Western	Rim HK (2012)	22637723	10090	10090
ETG23988	ETG50754	Pin1	Fbxw7	D9Bwg1161e|0610025L01Rik	SEL-10|1110001A17Rik|Fbw7|Fbx30|Fbwd6|Cdc4|Fbxo30|AGO|Fbxw6	Affinity Capture-Western	Min SH (2012)	22608923	10090	10090
ETG50754	ETG23988	Fbxw7	Pin1	SEL-10|1110001A17Rik|Fbw7|Fbx30|Fbwd6|Cdc4|Fbxo30|AGO|Fbxw6	D9Bwg1161e|0610025L01Rik	Affinity Capture-Western	Min SH (2012)	22608923	10090	10090
RP23-71K8.3	ETG22702	Rlim	Zfp42	Rnf12|AW743871|Ha1r|AL022832	Zfp-42|Rex1|Rex-1	Affinity Capture-MS	Gontan C (2012)	22596162	10090	10090
RP23-71K8.3	ETG22702	Rlim	Zfp42	Rnf12|AW743871|Ha1r|AL022832	Zfp-42|Rex1|Rex-1	Affinity Capture-Western	Gontan C (2012)	22596162	10090	10090
ETG22702	RP23-71K8.3	Zfp42	Rlim	Zfp-42|Rex1|Rex-1	Rnf12|AW743871|Ha1r|AL022832	Affinity Capture-Western	Gontan C (2012)	22596162	10090	10090
ETG93759	ETG67773	Sirt1	Myst1	SIR2L1|Sir2|AA673258|Sir2a|Sir2alpha	2010203C02Rik|MOF|KAT8|5830450F21Rik|D7Ertd629e	Affinity Capture-Western	Peng L (2012)	22586264	10090	10090
ETG93759	ETG81601	Sirt1	Kat5	SIR2L1|Sir2|AA673258|Sir2a|Sir2alpha	PLIP|CPLA2|Tip55|Tip60|Htatip|AI839539|Htatip1	Affinity Capture-Western	Peng L (2012)	22586264	10090	10090
ETG67773	ETG93759	Myst1	Sirt1	2010203C02Rik|MOF|KAT8|5830450F21Rik|D7Ertd629e	SIR2L1|Sir2|AA673258|Sir2a|Sir2alpha	Affinity Capture-Western	Peng L (2012)	22586264	10090	10090
ETG81601	ETG93759	Kat5	Sirt1	PLIP|CPLA2|Tip55|Tip60|Htatip|AI839539|Htatip1	SIR2L1|Sir2|AA673258|Sir2a|Sir2alpha	Affinity Capture-Western	Peng L (2012)	22586264	10090	10090
ETG26401	RP23-135A21.5	Map3k1	Jun	MAPKKK1|MEKK1|Mekk	Junc|AP-1|c-jun	Affinity Capture-Western	Rieger MA (2012)	22582703	10090	10090
ETG268697	ETG260423	Ccnb1	Hist1h3f	Cycb-4|Ccnb1-rs13|Cycb-5|Cycb1-rs1|Ccnb1-rs1|CycB1	Hist1|H3.2-221	Biochemical Activity	Sette C (1999)	10559244	10090	10090
ETG12534	ETG260423	Cdk1	Hist1h3f	Cdc2|p34[CDC2]|Cdc2a	Hist1|H3.2-221	Biochemical Activity	Sette C (1999)	10559244	10090	10090
ETG100494	ETG26440	Zfand2a	Psma1	Airap|AA407930|AU016206	C2|Pros-30|alpha-type|HC2	Co-fractionation	Stanhill A (2006)	16973439	10090	10090
ETG100494	ETG70247	Zfand2a	Psmd1	Airap|AA407930|AU016206	P112|S1|2410026J11Rik	Co-fractionation	Stanhill A (2006)	16973439	10090	10090
ETG100494	ETG26440	Zfand2a	Psma1	Airap|AA407930|AU016206	C2|Pros-30|alpha-type|HC2	Co-purification	Stanhill A (2006)	16973439	10090	10090
ETG100494	ETG70247	Zfand2a	Psmd1	Airap|AA407930|AU016206	P112|S1|2410026J11Rik	Affinity Capture-MS	Stanhill A (2006)	16973439	10090	10090
ETG100494	ETG21762	Zfand2a	Psmd2	Airap|AA407930|AU016206	9430095H01Rik|TEG-190|Tex190|AA407121	Affinity Capture-MS	Stanhill A (2006)	16973439	10090	10090
ETG100494	ETG15481	Zfand2a	Hspa8	Airap|AA407930|AU016206	Hspa10|Hsp73|Hsc70|2410008N15Rik|Hsc71|Hsc73	Affinity Capture-MS	Stanhill A (2006)	16973439	10090	10090
ETG100494	ETG17463	Zfand2a	Psmd7	Airap|AA407930|AU016206	AW107203|Mov34|Mov-34	Affinity Capture-MS	Stanhill A (2006)	16973439	10090	10090
ETG26440	ETG100494	Psma1	Zfand2a	C2|Pros-30|alpha-type|HC2	Airap|AA407930|AU016206	Affinity Capture-Western	Stanhill A (2006)	16973439	10090	10090
ETG26440	ETG22190	Psma1	Ubc	C2|Pros-30|alpha-type|HC2	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Stanhill A (2006)	16973439	10090	10090
ETG26440	ETG17463	Psma1	Psmd7	C2|Pros-30|alpha-type|HC2	AW107203|Mov34|Mov-34	Affinity Capture-Western	Stanhill A (2006)	16973439	10090	10090
ETG100494	ETG17463	Zfand2a	Psmd7	Airap|AA407930|AU016206	AW107203|Mov34|Mov-34	Affinity Capture-Western	Stanhill A (2006)	16973439	10090	10090
ETG100494	ETG26440	Zfand2a	Psma1	Airap|AA407930|AU016206	C2|Pros-30|alpha-type|HC2	Affinity Capture-Western	Stanhill A (2006)	16973439	10090	10090
ETG100494	ETG21762	Zfand2a	Psmd2	Airap|AA407930|AU016206	9430095H01Rik|TEG-190|Tex190|AA407121	Affinity Capture-Western	Stanhill A (2006)	16973439	10090	10090
ETG100494	RP23-1O11.2	Zfand2a	Psmd14	Airap|AA407930|AU016206	3200001M20Rik|2610312C03Rik|Pad1|rpm11|Poh1|AA986732	Affinity Capture-Western	Stanhill A (2006)	16973439	10090	10090
ETG19185	ETG18022	Psmd4	Nfe2	angiocidin|Af1|Mcb1	p45|NF-E2|p45NFE2|45kDa|p45nf-e2	Affinity Capture-Western	Kawahara H (2000)	10921894	10090	10090
ETG19185	ETG22190	Psmd4	Ubc	angiocidin|Af1|Mcb1	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Far Western	Kawahara H (2000)	10921894	10090	10090
ETG14126	ETG15183	Ms4a2	Hdac3	Ms4a1|Fcrbeta|Fcer1b|FcRB|Fce1b	AW537363	Affinity Capture-Western	Kim Y (2012)	22679019	10090	10090
ETG14126	RP23-49A12.2	Ms4a2	Lyn	Ms4a1|Fcrbeta|Fcer1b|FcRB|Fce1b	AA407514|Hck-2	Affinity Capture-Western	Kim Y (2012)	22679019	10090	10090
ETG15183	ETG19353	Hdac3	Rac1	AW537363	AL023026|D5Ertd559e	Affinity Capture-Western	Kim Y (2012)	22679019	10090	10090
ETG15183	ETG14126	Hdac3	Ms4a2	AW537363	Ms4a1|Fcrbeta|Fcer1b|FcRB|Fce1b	Affinity Capture-Western	Kim Y (2012)	22679019	10090	10090
ETG15183	RP23-49A12.2	Hdac3	Lyn	AW537363	AA407514|Hck-2	Affinity Capture-Western	Kim Y (2012)	22679019	10090	10090
ETG15183	ETG20683	Hdac3	Sp1	AW537363	Sp1-1|AA450830|1110003E12Rik|AI845540	Affinity Capture-Western	Kim Y (2012)	22679019	10090	10090
ETG15183	RP23-135A21.5	Hdac3	Jun	AW537363	Junc|AP-1|c-jun	Affinity Capture-Western	Kim Y (2012)	22679019	10090	10090
ETG328572	RP23-252M19.8	Ep300	Mecp2	p300 HAT|p300|A730011L11|KAT3B|A430090G16	Mbd5|BB130002|1500041B07Rik|WBP10|D630021H01Rik	Biochemical Activity	Zocchi L (2012)	22677942	10090	10090
ETG93759	RP23-252M19.8	Sirt1	Mecp2	SIR2L1|Sir2|AA673258|Sir2a|Sir2alpha	Mbd5|BB130002|1500041B07Rik|WBP10|D630021H01Rik	Affinity Capture-Western	Zocchi L (2012)	22677942	10090	10090
RP23-252M19.8	ETG93759	Mecp2	Sirt1	Mbd5|BB130002|1500041B07Rik|WBP10|D630021H01Rik	SIR2L1|Sir2|AA673258|Sir2a|Sir2alpha	Affinity Capture-Western	Zocchi L (2012)	22677942	10090	10090
ETG20422	RP23-395E10.2	Shfm1	Psmd3	DSS1|Shfdg1|Shfg	AntP91a|Tstap91a|Psd3|D11Bwg1349e|AI255837	Affinity Capture-Western	Wei SJ (2008)	18775730	10090	10090
ETG19130	ETG18091	Prox1	Nkx2-5	A230003G05Rik	Nkx2.5|tinman|Nkx-2.5|Csx	Synthetic Rescue	Risebro CA (2012)	22647876	10090	10090
ETG15183	ETG19130	Hdac3	Prox1	AW537363	A230003G05Rik	Two-hybrid	Risebro CA (2012)	22647876	10090	10090
ETG20893	RP24-151H6.1	Bhlhe40	Cebpb	C130042M06Rik|Stra13|Bhlhb2|Clast5|Stra14|CR8|Dec1|Sharp2	Nfil6|LIP|C/EBPbeta|CRP2|LAP|IL-6DBP|NF-M|NF-IL6	Two-hybrid	Park YK (2012)	22610404	10090	10090
RP24-151H6.1	ETG20893	Cebpb	Bhlhe40	Nfil6|LIP|C/EBPbeta|CRP2|LAP|IL-6DBP|NF-M|NF-IL6	C130042M06Rik|Stra13|Bhlhb2|Clast5|Stra14|CR8|Dec1|Sharp2	Affinity Capture-Western	Park YK (2012)	22610404	10090	10090
ETG20893	RP24-151H6.1	Bhlhe40	Cebpb	C130042M06Rik|Stra13|Bhlhb2|Clast5|Stra14|CR8|Dec1|Sharp2	Nfil6|LIP|C/EBPbeta|CRP2|LAP|IL-6DBP|NF-M|NF-IL6	Affinity Capture-Western	Park YK (2012)	22610404	10090	10090
ETG20893	RP23-209C6.7	Bhlhe40	Hdac1	C130042M06Rik|Stra13|Bhlhb2|Clast5|Stra14|CR8|Dec1|Sharp2	HD1|Hdac1-ps|RPD3|MommeD5	Affinity Capture-Western	Park YK (2012)	22610404	10090	10090
RP23-61O3.10-001	RP23-63E8.1	Mmp9	Smad3	Clg4b|B/MMP9|pro-MMP-9|MMP-9|AW743869	AU022421|Madh3	Synthetic Growth Defect	Xu B (2012)	22610349	10090	10090
ETG21762	ETG22190	Psmd2	Ubc	9430095H01Rik|TEG-190|Tex190|AA407121	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Droggiti A (2011)	21883213	10090	10090
RP23-263H8.1	ETG22190	Psmc3	Ubc	TBP-1	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Droggiti A (2011)	21883213	10090	10090
RP23-135A21.5	RP23-63E8.1	Jun	Smad3	Junc|AP-1|c-jun	AU022421|Madh3	Two-hybrid	Xu B (2012)	22610349	10090	10090
ETG723860	RP23-318H20.1	Mir383	Rbms1	mmu-mir-383|Mirn383	MSSP-2|MSSP-1|AI255215|YC1|MSSP-3|2600014B10Rik	Two-hybrid	Yin M (2012)	22593182	10090	10090
RP23-354G20.5	ETG723860	Nr5a1	Mir383	ELP|Ftzf1|Ftz-F1|SF1|Ad4BP|ELP-3|SF-1	mmu-mir-383|Mirn383	Two-hybrid	Yin M (2012)	22593182	10090	10090
ETG12428	ETG12566	Ccna2	Cdk2	Ccn-1|AA408589|CycA2|Ccna|Cyca|Ccn1	A630093N05Rik	Affinity Capture-Western	Ravnik SE (1999)	10068472	10090	10090
ETG12566	ETG12428	Cdk2	Ccna2	A630093N05Rik	Ccn-1|AA408589|CycA2|Ccna|Cyca|Ccn1	Affinity Capture-Western	Ravnik SE (1999)	10068472	10090	10090
RP23-54C14.1	ETG81601	Foxp3	Kat5	JM2|sf|scurfin	PLIP|CPLA2|Tip55|Tip60|Htatip|AI839539|Htatip1	Affinity Capture-Western	Bettini ML (2012)	22579476	10090	10090
RP23-54C14.1	ETG328572	Foxp3	Ep300	JM2|sf|scurfin	p300 HAT|p300|A730011L11|KAT3B|A430090G16	Affinity Capture-Western	Bettini ML (2012)	22579476	10090	10090
RP23-54C14.1	ETG56233	Foxp3	Hdac7	JM2|sf|scurfin	5830434K02Rik|HD7a|mFLJ00062|Hdac7a|HD7	Affinity Capture-Western	Bettini ML (2012)	22579476	10090	10090
RP23-54C14.1	ETG22781	Foxp3	Ikzf4	JM2|sf|scurfin	Znfn1a4|Eos|Zfpn1a4|A630026H08Rik	Affinity Capture-Western	Bettini ML (2012)	22579476	10090	10090
RP23-54C14.1	ETG18018	Foxp3	Nfatc1	JM2|sf|scurfin	AV076380|NFAT2|NF-ATc|AI449492|2210017P03Rik|Nfatcb|NFATc	Affinity Capture-Western	Bettini ML (2012)	22579476	10090	10090
RP23-54C14.1	ETG22186	Foxp3	Uba52	JM2|sf|scurfin	D8Ertd21e|Rps27a|Gm1863|Ubb|Ubc	Affinity Capture-Western	Bettini ML (2012)	22579476	10090	10090
ETG22186	RP23-54C14.1	Uba52	Foxp3	D8Ertd21e|Rps27a|Gm1863|Ubb|Ubc	JM2|sf|scurfin	Affinity Capture-Western	Bettini ML (2012)	22579476	10090	10090
ETG81601	RP23-54C14.1	Kat5	Foxp3	PLIP|CPLA2|Tip55|Tip60|Htatip|AI839539|Htatip1	JM2|sf|scurfin	Affinity Capture-Western	Bettini ML (2012)	22579476	10090	10090
ETG22781	RP23-54C14.1	Ikzf4	Foxp3	Znfn1a4|Eos|Zfpn1a4|A630026H08Rik	JM2|sf|scurfin	Affinity Capture-Western	Bettini ML (2012)	22579476	10090	10090
ETG15183	RP23-436K3.2	Hdac3	Emd	AW537363	AW550900	Reconstituted Complex	Demmerle J (2012)	22570481	10090	10090
ETG15183	RP23-436K3.2	Hdac3	Emd	AW537363	AW550900	Affinity Capture-Western	Demmerle J (2012)	22570481	10090	10090
ETG21413	ETG208266	Tcf4	Dot1l	5730422P05Rik|SEF2|TFE|MITF-2A|ITF-2b|ME2|SEF-2|MITF-2B|ITF-2|bHLHb19|E2-2|E2.2|SEF2-1|ITF2|Tcf-4|ASP-I2	A630076O07|mDot1|Dot1|AW907654|KMT4	Affinity Capture-Western	Castano Betancourt MC (2012)	22566624	10090	10090
ETG22596	ETG21749	Xrcc5	Terf1	AI314015|Ku80|Ku86	Trf1|Pin2|Trbf1	Phenotypic Enhancement	Sfeir A (2012)	22556254	10090	10090
ETG22596	ETG21750	Xrcc5	Terf2	AI314015|Ku80|Ku86	TRF2	Phenotypic Enhancement	Sfeir A (2012)	22556254	10090	10090
RP23-437L13.2	ETG21749	Trp53bp1	Terf1	m53BP1|Tp53bp1|53BP1	Trf1|Pin2|Trbf1	Phenotypic Suppression	Sfeir A (2012)	22556254	10090	10090
RP23-437L13.2	ETG21750	Trp53bp1	Terf2	m53BP1|Tp53bp1|53BP1	TRF2	Phenotypic Suppression	Sfeir A (2012)	22556254	10090	10090
ETG319583	ETG21749	Lig4	Terf1	5830471N16Rik|tiny	Trf1|Pin2|Trbf1	Phenotypic Enhancement	Sfeir A (2012)	22556254	10090	10090
ETG319583	ETG21750	Lig4	Terf2	5830471N16Rik|tiny	TRF2	Phenotypic Enhancement	Sfeir A (2012)	22556254	10090	10090
ETG14633	RP23-392H19.10-007	Gli2	Sumo2	AW546128	Smt3b|SUMO-2|Smt3h2|Smt3A	Affinity Capture-Western	Han L (2012)	22549777	10090	10090
ETG14634	RP23-392H19.10-007	Gli3	Sumo2	Pdn|AU023367|AI854843|GLI3-190|GLI3FL|Bph|add|Xt	Smt3b|SUMO-2|Smt3h2|Smt3A	Affinity Capture-Western	Han L (2012)	22549777	10090	10090
ETG14633	ETG208727	Gli2	Hdac4	AW546128	AI047285|4932408F19Rik	Affinity Capture-Western	Han L (2012)	22549777	10090	10090
ETG14633	RP23-461C4.2	Gli2	Hdac5	AW546128	mHDA1|mKIAA0600|AI426555|Hdac4	Affinity Capture-Western	Han L (2012)	22549777	10090	10090
ETG14633	ETG56469	Gli2	Pias1	AW546128	2900068C24Rik|GBP|Ddxbp1	Two-hybrid	Han L (2012)	22549777	10090	10090
ETG14633	RP23-392H19.10-007	Gli2	Sumo2	AW546128	Smt3b|SUMO-2|Smt3h2|Smt3A	Two-hybrid	Han L (2012)	22549777	10090	10090
RP23-23G3.6	RP23-387C21.3	Psma7	Mavs	C6-I	cardif|VISA|IPS-1|D430028G21Rik	Affinity Capture-Western	Csak T (2011)	21425308	10090	10090
ETG18034	ETG19697	Nfkb2	Rela	NF-kappaB2|p49/p100|p49|p50B|lyt|p52	p65	Co-localization	Barre B (2007)	17962807	10090	10090
ETG18034	ETG12051	Nfkb2	Bcl3	NF-kappaB2|p49/p100|p49|p50B|lyt|p52	AI528691|Bcl-3	Co-localization	Barre B (2007)	17962807	10090	10090
ETG18034	ETG20466	Nfkb2	Sin3a	NF-kappaB2|p49/p100|p49|p50B|lyt|p52	Sin3|mSin3A|mKIAA4126|AW553200	Co-localization	Barre B (2007)	17962807	10090	10090
ETG18034	RP23-209C6.7	Nfkb2	Hdac1	NF-kappaB2|p49/p100|p49|p50B|lyt|p52	HD1|Hdac1-ps|RPD3|MommeD5	Co-localization	Barre B (2007)	17962807	10090	10090
ETG14048	ETG20471	Eya1	Six1	bor	BB138287	Synthetic Growth Defect	Ahmed M (2012)	22513373	10090	10090
ETG14048	ETG20471	Eya1	Six1	bor	BB138287	Phenotypic Enhancement	Ahmed M (2012)	22513373	10090	10090
ETG14048	ETG68094	Eya1	Smarcc2	bor	5930405J04Rik	Two-hybrid	Ahmed M (2012)	22513373	10090	10090
ETG20471	ETG68094	Six1	Smarcc2	BB138287	5930405J04Rik	Two-hybrid	Ahmed M (2012)	22513373	10090	10090
ETG20471	ETG68094	Six1	Smarcc2	BB138287	5930405J04Rik	Phenotypic Enhancement	Ahmed M (2012)	22513373	10090	10090
ETG20471	AL606746.1	Six1	Sox2	BB138287	lcc|ysb|Sox-2	Phenotypic Enhancement	Ahmed M (2012)	22513373	10090	10090
ETG14048	ETG68094	Eya1	Smarcc2	bor	5930405J04Rik	Phenotypic Enhancement	Ahmed M (2012)	22513373	10090	10090
ETG14048	AL606746.1	Eya1	Sox2	bor	lcc|ysb|Sox-2	Phenotypic Enhancement	Ahmed M (2012)	22513373	10090	10090
ETG14048	ETG20586	Eya1	Smarca4	bor	HP1-BP72|Brg1|SNF2beta|SW1/SNF	Phenotypic Enhancement	Ahmed M (2012)	22513373	10090	10090
ETG14048	ETG20588	Eya1	Smarcc1	bor	BAF155|Rsc8|AI115498|SRG3	Phenotypic Enhancement	Ahmed M (2012)	22513373	10090	10090
ETG20471	ETG20586	Six1	Smarca4	BB138287	HP1-BP72|Brg1|SNF2beta|SW1/SNF	Phenotypic Enhancement	Ahmed M (2012)	22513373	10090	10090
ETG20471	ETG20588	Six1	Smarcc1	BB138287	BAF155|Rsc8|AI115498|SRG3	Phenotypic Enhancement	Ahmed M (2012)	22513373	10090	10090
ETG14048	ETG20586	Eya1	Smarca4	bor	HP1-BP72|Brg1|SNF2beta|SW1/SNF	Affinity Capture-Western	Ahmed M (2012)	22513373	10090	10090
ETG14048	ETG68094	Eya1	Smarcc2	bor	5930405J04Rik	Affinity Capture-Western	Ahmed M (2012)	22513373	10090	10090
ETG14048	RP23-387G11.1	Eya1	Neurod1	bor	BETA2|Neurod|BHF-1|bHLHa3	Affinity Capture-Western	Ahmed M (2012)	22513373	10090	10090
ETG14048	ETG18014	Eya1	Neurog1	bor	AKA|Math4C|ngn1|Neurod3|bHLHa6	Affinity Capture-Western	Ahmed M (2012)	22513373	10090	10090
ETG20471	ETG20586	Six1	Smarca4	BB138287	HP1-BP72|Brg1|SNF2beta|SW1/SNF	Affinity Capture-Western	Ahmed M (2012)	22513373	10090	10090
ETG20471	ETG68094	Six1	Smarcc2	BB138287	5930405J04Rik	Affinity Capture-Western	Ahmed M (2012)	22513373	10090	10090
ETG20471	RP23-387G11.1	Six1	Neurod1	BB138287	BETA2|Neurod|BHF-1|bHLHa3	Affinity Capture-Western	Ahmed M (2012)	22513373	10090	10090
ETG20471	ETG18014	Six1	Neurog1	BB138287	AKA|Math4C|ngn1|Neurod3|bHLHa6	Affinity Capture-Western	Ahmed M (2012)	22513373	10090	10090
ETG20471	AL606746.1	Six1	Sox2	BB138287	lcc|ysb|Sox-2	Affinity Capture-Western	Ahmed M (2012)	22513373	10090	10090
